;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_rajputana_title;Form Rajputana;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_rajputana_desc;We must unite the Rajput people under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_rajputana_outside_title;Form the Raj;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_rajputana_outside_desc;The Rajput states must be collected into a single state, one which will far better serve our needs as a stronger ally.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_baluchistan_title;Form Baluchistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_baluchistan_desc;The Baluchi people must be liberated and united under a single flag-- ours.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_durrani_empire_title;Revive the Durrani Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_durrani_empire_desc;With Pashtun lands once again back in our hands, the empire of the Pashtuns can once again rise and reclaim that which was lost!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_greater_bengal_title;Claim Greater Bengal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_greater_bengal_desc;The Bengal Empire once ruled over much of eastern India, and the time has come to once again restake our claim. We must strike a blow against the forces of imperialism!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_pashtun_minority_title;Embrace the Pashtuns;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_pashtun_minority_desc;The Sikh Empire is a secular, tolerant state. We shall embrace the Pashtun lands under our dominion, and together forge a nation even stronger than before.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_sindi_minority_title;Embrace the Sindi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_sindi_minority_desc;The Sikh Empire is a secular, tolerant state. We shall embrace the Sindi lands under our dominion, and together forge a nation even stronger than before.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_avadhi_minority_title;Embrace the Avadhi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_avadhi_minority_desc;The Sikh Empire is a secular, tolerant state. We shall embrace the Avadhi lands under our dominion, and together forge a nation even stronger than before.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
form_north_german_confederation2_title;Call for German Unity;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_north_german_confederation2_desc;The conditions may be less than ideal, but in order to maintain national security and strive towards North German hegemony, we must approach our North German allies and create a confederation. Only with a united front, under a single flag, may we succeed!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
form_south_german_confederation2_title;Call for German Unity;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_south_german_confederation2_desc;The conditions may be less than ideal, but in order to maintain national security and strive towards South German hegemony, we must approach our South German allies and create a confederation. Only with a united front, under a single flag, may we succeed!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
become_holstein_title;Become Holstein;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_holstein_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Holstein is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_PRU;Become Prussia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_PRU_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Prussia is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_ANH;Become Anhalt;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_ANH_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Anhalt is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_SGF_BAD;Become Baden;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_SGF_BAD_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Baden is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_SGF_BAV;Become Bavaria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_SGF_BAV_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Bavaria is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_BRA;Become Brunswick;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_BRA_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Brunswick is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_BRE;Become Bremen;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_BRE_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Bremen is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_FRM;Become Frankfurt;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_FRM_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Frankfurt is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HAM;Become Hamburg;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HAM_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Hamburg is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HAN;Become Hannover;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HAN_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Hannover is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HEK;Become Hesse-Kessel;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HEK_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Hesse-Kessel is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HES;Become Hesse-Darmstadt;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HES_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Hesse-Darmstadt is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_OLD;Become Oldenburg;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_OLD_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Oldenburg is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_SAX;Become Saxony;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_SAX_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Saxony is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_WEI;Become Saxe-Weimar;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_WEI_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Saxe-Weimar is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_SGF_WUR;Become Württemburg;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_SGF_WUR_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Württemburg is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_MEI;Become Saxe-Meiningen;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_MEI_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Saxe-Meiningen is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_COB;Become Saxe-Coburg-Gotha;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_COB_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Saxe-Coburg-Gotha is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_NAS;Become Nassau;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_NAS_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Nassau is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_MEC;Become Mecklenberg;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_MEC_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Mecklenberg is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_LUB;Become Lübeck;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_LUB_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Lübeck is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_LIP;Become Lippe;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_LIP_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Lippe is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
rejoin_usa_title;Rejoin the Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rejoin_usa_desc;With the American government restored to democracy, our people have decided it is time to rejoin the Union. Let the United States be restored to the destiny it was meant for!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
entre_rios_independent_title;A Call to Rebellion;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
entre_rios_independent_desc;General Francisco Ramírez has issued a call to the people of Argentina: rise up, and force the dictators to agree to a just constitution that provides rights to every Argentine citizen!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_india_title;Form India;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_india_desc;The peoples of the Indian sub-continent must be united under a single banner: ours. It is the only way to keep us free of rule from European powers.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_nepal_title;Unite with Nepal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_nepal_desc;The time has come to rejoin with Greater Nepal and reform the great eastern kingdom.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_nepal_title;Claim Greater Nepal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_nepal_desc;The time has come to revoke the Sugauli Treaty and take back that which was taken from us. Greater Nepal must be restored!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
france_protector_of_eastern_christians_title;Claim Authority in the Holy Land;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
france_protector_of_eastern_christians_desc;Up until now, the Russians have maintained sovereign authority over Christians in the Holy Land-- authority that rightfully belongs to the Roman Catholic Church. It is time for that to change.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1856_title;Treaty of Paris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1856_desc;With the Russians having failed to assert their authority over the Turks, it is time for the powers of Europe to convene in Paris and settle the matter as best we can.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_russia_title;Treaty of Paris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_russia_desc;Now that we have successfully asserted our authority over the Turks, it is time to convene the powers of Europe in Paris and settle the matter as best we can.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
protect_eastern_christians_desc;If we are to retain our status as the defenders of eastern Christians, we must act now and make war upon the Turks and her allies. We will not be denied!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
appeal_to_the_british_title;Appeal to the British;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
appeal_to_the_british_desc;Though we are loathe to do so, it appears we are left with little choice: we must appeal to the British for protection, lest we fall under foreign rule and lose what little we have left.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
education_decree_1863_title;Filipino Education Decree;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
education_decree_1863_desc;Through the Education Decree of 1863, Queen Isabella II decreed the establishment of a free public shool system in the Phillipines that used Spanish as the language of instruction, leading to an increasing number of educated Filipinos. This would be the first in a number of colonial initiatives that rendered the Phillipines as one of the few places in the world where it was said to have visibly improved and prospered under colonial rule.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1898_title;Treaty of Paris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1898_desc;Spain has no choice but to admit it cannot hold onto its Caribbean and Pacific holdings. If we sit down and enter into peace negotiations with the Spanish government, it is possible they might be willing to end this war and turn over their holdings to us… for a price. Some will see this as the beginnings of American colonialism, but to our government this is simply a recognition of the world power that the United States has become.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
moret_law_title;The Moret Law;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
moret_law_desc;The Moret Law granted freedom to slaves in Puerto Rico born after 1868, slaves who served in the Spanish Army, slaves over 60 years old, and slaves who were owned by the Spanish government. It was the first in a series of reforms that saw slavery ended in Peurto Rico, well before it was ended in other Spanish colonies.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
outside_form_italy_title;Create Italy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
outside_form_italy_desc;Although our country has a monopoly on Italian affairs, it would perhaps be easier for us to have one strong ally instead of seven or even nine weaker puppets.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
outside_italia_irredenta_title;Strengthen our Italian allies;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
outside_italia_irredenta_desc;Italy's new claims do not conflict with our territorial interests. As a show of good faith, let us hand over any province of ours that lies within their claims.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
demand_thessaly_title;Demand Thessaly;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
demand_thessaly_desc;Demand that the Ottomans return Thessaly to our control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
demand_serb_lands_TUR_title;Demand Serbian Lands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
demand_serb_lands_TUR_desc;Demand that the Ottomans return Serbian lands to our control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
demand_montenegro_lands_title;Demand Montenegro Lands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
demand_montenegro_lands_desc;Demand that the Ottomans return Montenegran lands to our control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ottomans_to_turks_title;Become Turkey;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ottomans_to_turks_desc;The Ottoman dynasty is over. The Turkish people must move on as a country united under a common culture.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ottomans_to_turks;Has Become Turkey;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_ankara_title;Move Capital to Ankara;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_ankara_desc;Ankara is home to the Turkish national movement, and a more defensible location away from European enemies.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
bonin_administration_title;Japanese Bonin;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
bonin_administration_desc;Japan now controls the archipelago, and our modern administration will get rid of Gaijin names and change them accordingly.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
taiwan_administration_title;Japanese Formosa;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
taiwan_administration_desc;Japan now controls Formosa, and our modern administration will get rid of Gaijin names and change the island accordingly.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
valparaiso_harbor_title;The Jewel of the Pacific;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
valparaiso_harbor_desc;Valparaiso has became a required stopover for ships crossing between the Atlantic and Pacific oceans. In its role as a major seaport, Valparaiso receives immigrants from many European countries, but this could change if a new route was to open.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
move_capital_to_gothenburg_title;Göteborg, a Scandinavian Capital;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
move_capital_to_gothenburg_desc;Göteborg is the center of the Scandinavian nation and would be a perfect Capital for our great nation and further unite our people.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reform_kalmar_title;Reform the Kalmar Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reform_kalmar_desc;Once all of Scandinavia was ruled by a single monarch, our people united in purpose. With our nation on the rise in power and prestige, it is time to resurrect the Kalmar Union once more. For now this is just an idea, and one we must convince the other Scandinavian countries to accept. In time, they will come to see the benefit inherent in our common bond.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
SCA_customs_union_title;The Scandinavian Customs Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
SCA_customs_union_desc;The first step in uniting the Scandinavian nations is to eliminate the restrictions on trade between us. Open the borders!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
SCA_political_union_title;The Scandinavian Political Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
SCA_political_union_desc;The next step towards uniting Scandinavia is reducing the differences in our governments. Why have multiple agencies when there can simply be one, providing all our people with the services they need? We must surrender our individual sovereignty for common gain.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
usurp_kalmar_title;Take Leadership in the Kalmar Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
usurp_kalmar_desc;While the Kalmar Union was not reborn in our nation, it seems that a united Scandinavia will never come to pass unless a stronger country stands up and takes over the leadership role.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
kalmar_union;Kalmar Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kalmar_union_desc;We have agreed in principle to a closer bond with the other Scandinavian nations.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
leader_of_kalmar;Leader of the Kalmar Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
leader_of_kalmar_desc;We are the leader of the movement to unite the Scandinavian people under a single flag.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
customs_union;Customs Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
customs_union_desc;We are a member of a customs union, designed to reduce the barriers in trade between the member nations.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
perfect_fusion_title;Fusione Perfetta;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
perfect_fusion_desc;Now that liberal forms have been introduced to our nation's government, the people of Sardinia have come to view their separate status as more of a liability than a privilege. Perhaps an act of 'Perfect Union' between the Sardinians and the northern Italians is required to at last bring harmony to our house and aid the eventual reuinification of Italy.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
minoan_excavations_title;Minoan Excavations;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
forced_minoan_excavations_title;Forced Minoan Excavations;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
minoan_excavations_desc;We must plunder the secrets of the ancient Minoan civilization, for the good of science.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
forced_minoan_excavations_desc;We must plunder the secrets of the ancient Minoan civilization, for the good of science. It matters not what the local government thinks.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
the_british_raj;The British Raj;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_british_raj_desc;Greatest of the jewels in our nation's crown is the British Raj.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_xhosa_lands_title;Claim Xhosa Lands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_xhosa_lands_desc;The Xhosa lands rightfully belong to the Cape Colony, and the colonial governor has made a formal request to the British government to adminster the lands to protect colonist safety along the border.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
sell_alaska_title;Sell Alaska;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sell_alaska_desc;We have little use for our North American holdings. They are difficult to defend, and would be worth far more to another country than it is to us. While it may take some time to find an interested and appropriate buyer, perhaps we should start the process?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
annex_hawaii_title;Annex Hawaii;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_hawaii_desc;Our relationship with the Hawaiian government has borne fruit. They have asked to become a part of our nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
dutch_east_india;Dutch East India Company;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
dutch_east_india_desc;Greatest of the jewels in our nation's crown is the Dutch East India colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_serbia_title;Claim Greater Serbia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_serbia_desc;Many Serbs live throughout the Balkans. It is our duty to unite all of them under the Serbian flag!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
peking_convention_TPG_title;The Peking Convention;La convention de Pékin.;Die Pekinger Konvention;;La convención de Pekín;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
peking_convention_TPG_desc;Since the Treaty of Nerchinsk (1689), the Russian Empire has recognized the Argun river and the Stanovoy mountains as the natural frontiers between Russia and China.  In the mid 19th century the Russians would expand beyond this border to seize the vast lands between the Stanovoy Mountains and the Amur River. The Western Allies would later bring the Second Opium War to a conclusion by burning the Chinese Emperor's summer palaces, and entering Beijing. A cunning major general named Nikolay Ignatiev was able to convinced the Chinese that only Russian support would cause the allies to evacuate Peking. The price for this support was the Convention of Peking, which confirmed Muravyov's gains and, additionally, ceded territory between the Ussuri River and the Pacific to Russia. Thus, Russia had gained some 350,000 square miles of territory without firing a single shot.;Depuis le traité de Nerchinsk (1689), l’Empire russe a reconnu le fleuve Argun et les monts Stanovoy comme frontière naturelle entre la Russie et la Chine.  Au cours du XIXe siècle, les Russes franchirent cette frontière pour s’emparer des vastes territoires entre les monts Stanovoy et le fleuve Amour. Les Puissances occidentales mirent plus tard un terme à la seconde guerre de l’opium en brûlant les palais d’été de l’empereur et en s’emparant de Pékin. Un général russe avisé du nom de Nicolaï Ignatiev parvint à convaincre les chinois que seul le soutien de la Russie permettrait l'évacuation de Pékin par les alliés. Le prix de ce soutien fut la convention de Pékin, qui entérinait les conquêtes de Muravyov et cédait à la Russie les territoires entre le fleuve Ussuri et la côte pacifique. Ainsi, la Russie gagna-t-elle 560 000 kilomètres carrés sans tirer un coup de fusil.;Seit dem Vertrag von Nertschinsk (1689) hatte das russische Reich den Fluss Argun und das Stanowoigebirge als natürliche Grenze zwischen Russland und China betrachtet. Mitte des 19. Jahrhunderts wollten die Russen diese Grenze erweitern, um das weiträumige Gebiet zwischen dem Stanowoigebirge und dem Fluss Amur zu annektieren. Später beendeten die westlichen Alliierten den zweiten Opiumkrieg durch Niederbrennen der Sommerpaläste des chinesischen Kaisers und marschierten in Peking ein. Der gerissene Generalmajor Nikolai Ignatjew konnte die Chinesen überzeugen, dass sie die Westmächte nur mit russischer Unterstützung zum Abzug bewegen können würden. Der Preis für diese Unterstützung war die Pekinger Konvention, die Murawjows Forderungen bestätigte und Russland zusätzlich noch das Territorium zwischen dem Fluss Ussuri und dem Pazifik zusprach. Russland hatte sich also einen Gebietsgewinn von 350000 Quadratmeilen verschafft, ohne einen einzigen Schuss dafür abzufeuern.;;Desde el tratado de Nerchinsk (1689), el imperio ruso siempre había reconocido el río Argun y la cordillera de Stanovoy como fronteras naturales entre Rusia y China.  A mediados del siglo XIX, los rusos se expandirían más allá de esta frontera para apoderarse de los vastos territorios situados entre las montañas Stanovoy y el río Amur. Más adelante, los países occidentales pondrían fin a la Segunda Guerra del Opio incendiando los palacios estivales del emperador de China y ocupando Pekín. Un astuto general llamado Nikolay Ignatiev logró convencer a los chinos de que solo el apoyo de Rusia obligaría a los aliados a evacuar la capital. El precio de este apoyo fue la convención de Pekín, donde se confirmaron las ganancias obtenidas por Muravyov y, además, China cedió a Rusia nuevos territorios entre el río Ussuri y el Pacífico. De este modo, Rusia adquirió unas 350.000 millas cuadradas de territorio sin tener que disparar un solo tiro.;;;;;;;;;x
release_galicia_title;Release Galicia-Lodomeria;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
release_galicia_desc;With our holdings in Galicia-Lodomeria cut off from the rest of Austria, it only makes sense that we give the locals more autonomy. Let the Polish raise their own armies-- so long as they do so in the service of the Austrian crown.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
release_bukovina_title;Release Bukovina;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
release_bukovina_desc;With our holdings in Bukovina cut off from the rest of Austria, it only makes sense that we give the locals more autonomy. Let the Romanians raise their own armies-- so long as they do so in the service of the Austrian crown.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_tartu_title;Treaty of Tartu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_tartu_desc;Now that we are free from Russian rule, we should approach the Russian government and discuss the claims to Petsamo and southern Karelia before we end up in a territorial war we cannot hope to win.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
drive_to_reunify;Reunification Drive;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
drive_to_reunify_desc;We must reunite the country, at any cost!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
abandon_neutral_faction_title;Abandon Neutrality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_neutral_faction_desc;We can no longer afford to stand on the sidelines in the civil war. For better or worse, we must recognize that we have already cast the die in the conflict and take a stand.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
abandon_kuomintang_faction_title;Abandon the Kuomintang;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_kuomintang_faction_desc;The goals of the Kuomintang are no longer our own. As our ideology has changed, so must our allegiance. The civil war continues!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
