#Decision localisation;;;;;;;;;;;;;;
restore_rashids_title;Restore the House of Rasheed to the Arabian throne;Restaurer la dynastie des Al-Rasheed sur le trône d'Arabie;Restore the House of Rasheed to the Arabian throne;;;;;;;;;;;
switch_to_loyalty_title;Embrace the Ideal of Loyalty;;;;;;;;;;;;;
switch_to_loyalty_desc;Every citizen in our nation exists to serve, towards the greater good. It is only by acting in unison that we can hope to preserve our nation in the perilous times to come.;;;;;;;;;;;;;
switch_to_unity_equality_title;Embrace the Ideal of Unity;;;;;;;;;;;;;
switch_to_unity_equality_desc;We move forward, but as a single people with a singular purpose. We shall not succumb to discord and revolution. Unity is our only hope of greatness.;;;;;;;;;;;;;
switch_to_unity_order_title;Embrace the Ideal of Unity;;;;;;;;;;;;;
switch_to_unity_order_desc;We move forward, but as a single people with a singular purpose. We shall not succumb to discord and revolution. Unity is our only hope of greatness.;;;;;;;;;;;;;
switch_to_prosperity_equality_title;Embrace the Ideal of Prosperity;;;;;;;;;;;;;
switch_to_prosperity_equality_desc;Our nation is wealthy and our people prosperous. This is and always shall be our greatest strength.;;;;;;;;;;;;;
switch_to_prosperity_liberty_title;Embrace the Ideal of Prosperity;;;;;;;;;;;;;
switch_to_prosperity_liberty_desc;Our nation is wealthy and our people prosperous. This is and always shall be our greatest strength.;;;;;;;;;;;;;
switch_to_glory_liberty_title;Embrace the Ideal of Glory;;;;;;;;;;;;;
switch_to_glory_liberty_desc;Ours is a great and powerful nation, possessing freedom and strength that other nations can only envy. We shall boldly stride into the future, where our greater destiny awaits.;;;;;;;;;;;;;
switch_to_glory_might_title;Embrace the Ideal of Glory;;;;;;;;;;;;;
switch_to_glory_might_desc;Ours is a great and powerful nation, possessing freedom and strength that other nations can only envy. We shall boldly stride into the future, where our greater destiny awaits.;;;;;;;;;;;;;
switch_to_dominion_might_title;Embrace the Ideal of Dominion;;;;;;;;;;;;;
switch_to_dominion_might_desc;Our nation is strong, our borders inviolate. We shall march into the future together, humbly accepting the knowledge that our nation is the envy of the entire world.;;;;;;;;;;;;;
switch_to_dominion_order_title;Embrace the Ideal of Dominion;;;;;;;;;;;;;
switch_to_dominion_order_desc;Our nation is strong, our borders inviolate. We shall march into the future together, humbly accepting the knowledge that our nation is the envy of the entire world.;;;;;;;;;;;;;
switch_to_fraternity_title;Embrace the ideal of Fraternity;;;;;;;;;;;;;
switch_to_fraternity_desc;In our country, all men are created equal. It is time we fully embrace that maxim and throw off the shackles of iniquity.;;;;;;;;;;;;;
switch_to_freedom_title;Embrace the Ideal of Freedom;;;;;;;;;;;;;
switch_to_freedom_desc;Ours is a nation where all men are free to do as they wish, to advance their lot in life and achieve the greatness they were born to. This is our highest virtue, and the source of our nation's strength.;;;;;;;;;;;;;
switch_to_supremacy_title;Embrace the ideal of Supremacy;;;;;;;;;;;;;
switch_to_supremacy_desc;Our culture is astounding. Our military might is unparalleled. Our industry is dazzling. Soon the rest of the world will know of our might, and shake as we step onto the wider stage.;;;;;;;;;;;;;
switch_to_productivity_title;Embrace the Ideal of Productivity;;;;;;;;;;;;;
switch_to_productivity_desc;Ours is a wealthy nation filled with industrious, driven people. Each man pushes himself to do better, for the betterment of all.;;;;;;;;;;;;;
switch_to_equality_title;Embrace the Ideal of Equality;;;;;;;;;;;;;
switch_to_equality_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of equality and social fairness above all else.;;;;;;;;;;;;;
switch_to_liberty_title;Embrace the Ideal of Liberty;;;;;;;;;;;;;
switch_to_liberty_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of liberty and personal freedom above all else.;;;;;;;;;;;;;
switch_to_might_title;Embrace the Ideal of Might;;;;;;;;;;;;;
switch_to_might_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of force and military power above all else.;;;;;;;;;;;;;
switch_to_order_title;Embrace the Ideal of Order;;;;;;;;;;;;;
switch_to_order_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of law and order above all else.;;;;;;;;;;;;;
unite_persia_title;Claim the title of Shahanshah;Claim the title of Shahanshah;Claim the title of Shahanshah;;;;;;;;;;;
unite_persia_desc;We defeated our enemies and are now the only dynasty ruling in Persia. We're now in position to claim the prestigious title of Shahanshah, the King of Kings !;Avec la conquête de la Perse, du Khorasan, de la Transoxiane et de la Mésopotamie, notre grande dynastie peut maintenant restaurer l'empire de Cyrus le Grand. Long vie au Shahanshah - le Roi des Rois!;With the conquest of Persia, Khorasan, Transoxiana and Mesopotamia, our great dynasty can now restore the Iranian Empire of Cyrus the Great. Long live the Shahanshah- the King of Kings!;;;;;;;;;;;
greater_iran_title;The King of Kings;Le Roi des Rois;The King of Kings;;;;;;;;;;;
greater_iran_desc;With the conquest of Persia, Khorasan and Mesopotamia, our great dynasty can now restore the Iranian Empire of Cyrus the Great. Long live the Shahanshah- the King of Kings!;Avec la conquête de la Perse, du Khorasan, de la Transoxiane et de la Mésopotamie, notre grande dynastie peut maintenant restaurer l'empire de Cyrus le Grand. Long vie au Shahanshah - le Roi des Rois!;With the conquest of Persia, Khorasan, Transoxiana and Mesopotamia, our great dynasty can now restore the Iranian Empire of Cyrus the Great. Long live the Shahanshah- the King of Kings!;;;;;;;;;;;
timurid_legacy_title;Legacy of Timur;;;;;;;;;;;;;
timurid_legacy_desc;Kerman is the last territory held by the heirs of Timur in Persia. The Qajar and other vultures have challenged the claims of the rightful Shahanshah but now we have retaken Khuzestan from the Iraqis we can make them acknowledge our prominence !;;;;;;;;;;;;;
enact_liquor_prohibition_title;Liquor Prohibition;Prohibition de l'alcool;Alkoholverbot;;;;;;;;;;;
enact_liquor_prohibition_desc;The Temperance League, bold from many perceived victories against the uses and abuses of alchohol in our nation, are lobbying political decision makers to enact a nation wide ban on the sale, use and possession of alcoholic beverages. While opponents argue that prohibition threatens to turn the alcohol market into a lucrative business for organized crime, the Temperance League, on the contrary, argues that alcohol is in fact the root cause of many social ills, not least of which is, indeed, crime.;;Die Abstinenzlerbewegung, gestärkt durch viele vermeintliche Siege gegen den Gebrauch und Missbrauch von Alkohol in unserem Land, beschwören politische Entscheidungsträger, ein landesweites Verbot auf Verkauf, Besitz und Gebrauch alkoholischer Getränke einzuführen. Während die Gegner argumentieren, dass die Prohibition den Alkoholmarkt in ein lukratives Geschäft für das organisierte Verbrechen verwandelt, ist die Abstinenzlerbewegung der gegensätzlichen Ansicht, dass Alkohol in der Tat die Wurzel so manchen sozialen Übels ist, ganz besonders der Kriminalität.;;;;;;;;;;;
abolish_prohibition_title;Repeal Prohibition;Abrogation de la prohibition;Schluß mit der Prohibition;;;;;;;;;;;
abolish_prohibition_desc;Some say that our nations's experiment with the outlawing of alcohol has gone on for too long, and argue that it should be abolished.;Certains pensent que la prohibition de l'alcool a assez duré et qu'elle devrait être abolie.;Manche Stimmen sagen, dass das Experiment unserer Nation mit der Alkoholkriminalisierung schon zu lange läuft und sind der Meinung, man solle es beenden.;;;;;;;;;;;
institute_central_bank_title;National Banking Act;Loi bancaire nationale;Nationales Bankengesetz;;;;;;;;;;;
institute_central_bank_desc;While our government has for some time maintained a central bank, some voices within the economic debate have begun arguing in favor of monopolizing the issuing of currency to a strict government prerogative. Proponents argue that this will lead to an increase in economic stability, while opponents see it as a fundamental breach of the freedom of trade.;Alors que notre gouvernement maintient depuis un certain temps une banque centrale, certaines voix s'élèvent en faveur de la monopolisation d'émission de devises selon une stricte prérogative gouvernementale. Les partisans soulignent le fait que cela renforcera la stabilité économique et les opposants y voient une violation fondamentale en termes de liberté des échanges.;Obwohl unsere Regierung bereits seit einiger Zeit eine Zentralbank unterhält, befürworten einige Wirtschaftsexperten nun, das Notenprivileg auf den Staat zu monopolisieren. Sie behaupten, dies würde zur Stabilisierung der Wirtschaft beitragen, werden die Gegner dieses Vorschlags ihn als fundamentalen Bruch der Handelsfreiheit ansehen.;;;;;;;;;;;
enact_female_suffrage_title;Enact Woman's Suffrage;Droit de vote des femmes;Frauenwahlrecht verfügen;;;;;;;;;;;
enact_female_suffrage_desc;The idea of Woman's Suffrage increasingly gained traction in Western society throughout the 19th century. First advocated in the writings of early liberal philosophers, such as England's Mary Woolstonecraft or John Stuart Mill, the idea and ideology of Woman's Suffrage gradually developed, as the century wore on, into a coherent ideology in its own right: Feminism. The experience during The First World War, of women working in factories, and other jobs previously reserved for men during peacetime, is often said to have been a crucial pivot point in securing Woman's right to work, vote, and, in other fields of society, achieve legal equality with men.;Au XIXe siècle, la question du droit de vote des femmes gagne de plus en plus de terrain. Initialement défendue dans les écrits des premiers philosophes libéraux, parmi lesquels les britanniques Mary Woolstonecraft ou John Stuart Mill, l'idée du droit de vote des femmes s'est progressivement répandue au fil du siècle pour donner lieu à une idéologie à part entière : le féminisme. L'expérience de la Première Guerre mondiale, lorsque les femmes travaillèrent en usine et exercèrent des métiers jusque là réservés aux hommes, serait l'un des pivots du droit des femmes à travailler, à voter et, dans d'autres domaines de la société, à atteindre un statut d'égalité avec les hommes.;Die Idee des Frauenwahlrechts fasste im Verlauft des neunzehnten Jahrhunderts in der westlichen Gesellschaft immer mehr Fuß. Zuerst von frühen liberalen Philosophen wie Englands Mary Woolstonecraft oder John Stuart Mill unterstützt, entwickelte sich die Idee und Ideologie des Frauenwahlrechts im weiteren Verlauf des Jahrhundert allmählich zu einer eigenen, kohärenten Ideologie, dem Feminismus. Die Erfahrungen des ersten Weltkriegs, als Frauen in Fabriken und anderen Berufen die Rollen der Männer einnahmen, werden oft als Wendepunkt für das Recht der Frauen auf Arbeit, Wahlrecht, Gleichberechtigung und andere gesellschaftliche Aspekte bezeichnet.;;;;;;;;;;;
form_rajputana_title;Form Rajputana;;;;;;;;;;;;;
form_rajputana_desc;We must unite the Rajput people under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;
reclaim_granada_title;Reclaim Granada from the Savages!;;;;;;;;;;;;;
reclaim_granada_desc;We have been humiliated again and again by the Incan savages. They have managed to conquer half of our great nation. Their atrocities cannot go unpunished! It is time we beat them back and reclaim our great nation!;;;;;;;;;;;;;
form_granada_title;Form Granada;;;;;;;;;;;;;
form_granada_desc;We have managed to unite the former Spanish colonies in Ameriga. We can now proclaim the state of Granada.;;;;;;;;;;;;;
rohnnst_question1_title;Rohnnst Indians;;;;;;;;;;;;;
rohnnst_question1_desc;When the Cree people mixed with the Chinese of Qingqiu and Vinlandic Scandinavians, a new race was born - the Rohnnst. They traded with the colonizers and after long and extensive contact with them they formed a proto-state in the middle of the wild Arcadian plains and forests. But the march of civilization is endless and they have to make a decision today. Will they accept our hegemony?;;;;;;;;;;;;;
rohnnst_question2_title;Rohnnst Indians;;;;;;;;;;;;;
rohnnst_question2_desc;When the Cree people mixed with the Chinese of Qingqiu and Vinlandic Scandinavians, a new race was born - the Rohnnst. They traded with the colonizers and after long and extensive contact with them they formed a proto-state in the middle of the wild Arcadian plains and forests. But the march of civilization is endless and they have to make a decision today. Will they accept our hegemony?;;;;;;;;;;;;;
rohnst_decision_title;Integration of the Rohnst;;;;;;;;;;;;;
rohnst_decision_desc;Our policy of integrating the native peoples of Arcadia in our state must extend to the Rohnst who are closer to us than most of the other tribes !;;;;;;;;;;;;;
iroquois_decision_title;Integration of the Iroquois;;;;;;;;;;;;;
iroquois_decision_desc;The Iroquois people are numberous in the Great Lakes region. We have had a mxied relationship with the old Confederation but with steps taken to integrate the tribes into our social fabric we can make them accept our rule;;;;;;;;;;;;;
algonquin_decision_title;Integration of the Algonquin;;;;;;;;;;;;;
algonquin_decision_desc;The Algonquin tribes are the second largest native people in Vinland behind the Iroquois. Despite being organized in small tribes, they have acquired a common conscience over the years because of the colonization of their lands. With our policy towards the natives hinted at collaboration we can negotiate with them to make them full Vinlandic citizens;;;;;;;;;;;;;
sioux_decision_title;The Tribes from the Plains;;;;;;;;;;;;;
sioux_decision_desc;The Great Plains of Arcadia are inhabited by the Sioux people, divided between the Nakota, Lakota and Dakota tribes. Their territory is challenged by many different states and we could enforce our claims by making the Sioux full citizens of our country.;;;;;;;;;;;;;
cherokee_decision_title;Integration of the Cherokee;;;;;;;;;;;;;
cherokee_decision_desc;The Cherokee, or Tsalagi in their own language, are the Native people with whom the Dual-Monarchy had the most contacts. The Kingdom of Plantagenia ended their independence but the Cherokee never forgot their very culture. Proposals have emerged in Nouvelle-Orleans to make a special Cherokee act that would grant full citizenship to the tribes from the Montagnes Enfumees.;;;;;;;;;;;;;
pueblo_decision_title;Integration of the Cunmin;;;;;;;;;;;;;
pueblo_decision_desc;The Cunmin tribes were the prime trade partners of the early Dong Guo city states and differentiated themselves from the many other Native tribes the Chinese settlers met by living in villages hence their name which mean "Villagers", more commonly known as Pueblo because of Spanish conquistadors. As the Federation expands east it controls more and more of their territory and some of the politicians of Sanbao have suggested that we should grant them full citizenship to strenghten our rule on the Wild East.;;;;;;;;;;;;;
apache_decision_title;Integration of the Apache;;;;;;;;;;;;;
apache_decision_desc;Spanish colonization of Ameriga and Southern Arcadia integrated the Native elites in the colonial system granting nobility title to the most Hispanicized. But in the northern parts of Lusitania, the city social system did not exist and many encroachements between Lusitanian and Apache tribes erupted. With our control over the numerous Apache territories complete we can grant them citizenship and let them administrate thier territories in our name;;;;;;;;;;;;;
form_russia_title;Proclaim the Tsardom of all Russias;Proclamer l'Empire de toutes les Russies;Verkündet das Zarentum aller Russen;;;;;;;;;;;
form_russia_desc;Our domination over the Eastern Slavs is complete, and the time has come to declare a single states of all the Russians. The Great Bear has finally risen, and now Europe shall fear us!;Notre domination des slaves de l'est est complète, et l'heure est venue de créer un seul état pour tous les russes. L'Ours Russe s'est enfin réveillé, et maintenant l'Europe nous craindra!;Unsere Herrschaft über die östlichen Slaven ist vollendet und die Zeit ist gekommen, um ein einzelnes Zarentum aller Russen zu erklären. Der große Bär ist endlich auferstanden, und jetzt wird Europa uns fürchten!;;;;;;;;;;;
mongolian_protectorate_title;The Mongolian Protectorate;;;;;;;;;;;;;
mongolian_protectorate_desc;Our influence in Mongolia is such that we are in a position to pry the nation away from the Chinese and into our control. They would be our vassals, benefiting from protection against Chinese claims on their land.;;;;;;;;;;;;;
set_expansion_focus_title;Russian Ambitions In The West;;;;;;;;;;;;;
set_expansion_focus_desc;If Russia is to become a great empire, we must determine how we are to deal with our strong neighbors.;;;;;;;;;;;;;
move_capital_to_nyenschantz_title;Move The Capital To Nyenschantz;;;;;;;;;;;;;
move_capital_to_nyenschantz_desc;In the early 18th century, Mikhail the Great made great efforts to modernize and strengthen Muscovy. We should honor and continue his efforts by building a great city on the Baltic and making it our capital. Nyenschantz isn't ice-free all year, but it's easily defensible and already somewhat populated. Furthermore, it would allow our a greater degree of control over our new Baltic subjects, which could very well make integrating them easier.;;;;;;;;;;;;;
move_capital_to_rostov_title;Move The Capital To Rostov;;;;;;;;;;;;;
move_capital_to_rostov_desc;Rostov is located at the mouth of the Don River and has easy access to the Black Sea. If we are to focus on expanding southwards, it would make an excellent capital, giving us easy access to the entire Mediterranean and opening up many opportunities for trade, diplomacy, and expansion. We would also be able to exert greater control over recently incorporated steppe peoples, which could very well make integrating them easier.;;;;;;;;;;;;;
integrate_ruthenian_culture_title;Integrate the Ruthenians;;;;;;;;;;;;;
integrate_ruthenian_culture_desc;As our (somewhat) close cultural kin, the Ruthenians certainly deserve full political rights within our empire.;;;;;;;;;;;;;
integrate_tatar_culture_title;Integrate the Kazan Tatars;;;;;;;;;;;;;
integrate_tatar_culture_desc;While the Tatars have traditionally been our rivals and a barrier to Russian unification, some of them have taken up our cause and religion, including the Muscovite Temryukov dynasty. These "Russo-Kryashens", as they are known, are a sure sign that we will be able to earn the loyalty of our Tatar subjects. ;;;;;;;;;;;;;
integrate_astrakhani_culture_title;Integrate the Volga Tatars;;;;;;;;;;;;;
integrate_astrakhani_culture_desc;The Tatars of Astrakhan are very similar to those in Kazan, although rather more of them are Muslim. It will not take much more effort to integrate them into Russia.;;;;;;;;;;;;;
integrate_georgian_culture_title;Integrate Georgia;;;;;;;;;;;;;
integrate_georgian_culture_desc;The Caucasus is full of small, bickering nationalities. Georgians are potentially useful to us for their legacy of Orthodox Christianity, and if we empower them, they may serve as a useful bulwark against Turkish aggression, or any other state that may arise in the Middle East.;;;;;;;;;;;;;
integrate_estonian_culture_title;Integrate the Estonians;;;;;;;;;;;;;
integrate_estonian_culture_desc;We've been trading with the Estonians for quite a while. As long as we show some respect for their language and culture, we should be able to keep them from turning to Scandinavia or elsewhere for freedom.;;;;;;;;;;;;;
integrate_latvian_culture_title;Integrate the Latvians;;;;;;;;;;;;;
integrate_latvian_culture_desc;Like the Estonians, we have interacted with Latvians for some time, and integrating them into our social fabric should be quite simple.;;;;;;;;;;;;;
integrate_finnish_culture_title;Integrate Finland;;;;;;;;;;;;;
integrate_finnish_culture_desc;We can finish enforcing our hegemony over the Baltic by giving special consideration to the needs of the Finnish people. By doing so, we will create a strong and loyal buffer against any Scandinavian revanchism.;;;;;;;;;;;;;
moscow_expansion_steppes_title;The Wild Lands;;;;;;;;;;;;;
moscow_expansion_steppes_desc;The Tsardom has competed with the Tatars for centuries and the areas along the Don and the Volga rivers have changed hands regularly. The current balance of power makes us a possible target of the Scandinavians through their puppet of Novgorod but should we rise again we could easily claim the Steppes as ours!;;;;;;;;;;;;;
create_rossian_empire_title;For the Holy Russia!;;;;;;;;;;;;;
create_rossian_empire_desc;The Empire of Holy Russia is a natural successor of the Tsardom of Moscow. We shall use the newly-gained power to bring Mother Russia to its former glory.;;;;;;;;;;;;;
mother_russia_calling_title;For Holy Russia!;;;;;;;;;;;;;
mother_russia_calling_desc;The Empire of Holy Russia is a natural successor of the Tsardom of Moscow. We shall use the newly-gained power to bring Mother Russia to its former glory.;;;;;;;;;;;;;
claim_siberia_title;Go east, young man;A l'est, jeune homme;Go east, young man;;;;;;;;;;;
claim_siberia_desc;The Siberian plains were claimed by the Russian rulers since the times of Vladimir Atlasov and Danila Antsiferov. We have to keep our word.;La Russie, puissante et fière, domine aujourd'hui le monde slave. Il est temps de porter nos efforts vers l'avenir de notre nation: les vastes étendues de la Sibérie, qui n'attendent que les colons russes pour les développer.;The Siberian plains were claimed by the Russian rulers since the times of Vladimir Atlasov and Danila Antsiferov. We have to keep our word.;;;;;;;;;;;
form_batavia_title;Boer Unification;;;;;;;;;;;;;
form_batavia_desc;Since the Boer Wars following the Great German Wars a new idea has spread amongst the Afrikaans people. More and more people are advocating for a new state to rise to unify the Boer States. This state will maybe be able to reclaim Kaap and maybe even threaten the European establishment;;;;;;;;;;;;;
form_south_africa_title;Form South Africa;;;;;;;;;;;;;
form_south_africa_desc;With the Cape Colony under our control we can form a true, united Boer republic-- one that at last will keep us from foreign domination and Burgundian rule.;;;;;;;;;;;;;
setup_decision_title;Setup;;;;;;;;;;;;;
setup_decision_desc;This should never be read outside of a localisation file.;;;;;;;;;;;;;
form_lesser_germany_title;Form the Danubian Confederation;Former l'Allemagne mineure;Gründe Kleindeutschland;;;;;;;;;;;
form_lesser_germany_desc;Our dominant position over the south and central German states is now firmly established. While it will still take time to unify all the Germans, today we can at last form a proper German kingdom - a stepping-stone to greater things!;Notre position dominante parmi les états allemands du sud et du centre est maintenant fermement établie. Il faudra encore du temps avant de pouvoir unir tous les allemands, mais aujourd'hui nous pouvons enfin former un vrai état allemand - une étape avant de plus grandes choses!;Unsere beherrschende Stellung über die Süd-und Mitteldeutschen Staaten ist inzwischen fest etabliert. Es wird zwar noch einige Zeit dauern, alle Deutschen zu vereinigen, doch können wir heute endlich ein deutsches Königreich gründen - ein Sprungbrett zu Höherem!;;;;;;;;;;;
FAQ_dec_title;FAQ;;;;;;;;;;;;;
FAQ_dec_desc;For the obvious questions.;;;;;;;;;;;;;
DUA_SS_title;History of the Dual-Monarchy;;;;;;;;;;;;;
DUA_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
BRG_SS_title;History of Burgundy;;;;;;;;;;;;;
BRG_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
CLM_SS_title;History of Gran Colombia;;;;;;;;;;;;;
CLM_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
DNG_SS_title;History of Qingqiu;;;;;;;;;;;;;
DNG_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
BOH_SS_title;History of Bohemia;;;;;;;;;;;;;
BOH_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
NBG_SS_title;History of Belgium;;;;;;;;;;;;;
NBG_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
SCA_SS_title;History of Scandinavia;;;;;;;;;;;;;
SCA_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
NAN_SS_title;History of Beornia;;;;;;;;;;;;;
NAN_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
ARA_SS_title;History of Aragon;;;;;;;;;;;;;
ARA_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
INC_SS_title;History of the Incan Empire;;;;;;;;;;;;;
INC_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
PRV_SS_title;History of Provence;;;;;;;;;;;;;
PRV_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
PLA_SS_title;History of Plantagenia;;;;;;;;;;;;;
PLA_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
VIN_SS_title;History of Vinland;;;;;;;;;;;;;
VIN_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
AMA_SS_title;History of Amazonie;;;;;;;;;;;;;
AMA_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;
unite_sokoto_title;Forge the Caliphate;;;;;;;;;;;;;
unite_sokoto_desc;The fragmented Hausa people are crying for a hero. They are begging to be united  under one banner. Will we be mighty enough to answer this call, and create an empire to match the greatest powers of our times? Will we be able to form the great Sokoto Caliphate - the mightiest power Sahel had ever seen?;;;;;;;;;;;;;
form_tatarstan_title;Unite the Tatars;;;;;;;;;;;;;
form_tatarstan_desc;The age of the steppe warriors is over. However, if we could unite the khanates of the European steppe, it would be a fitting tribute to their legacy, and a counter to growing Russian nationalism.;;;;;;;;;;;;;
TAR_encourage_sedentarization_title;Encourage Sedentarization of the Steppes;;;;;;;;;;;;;
TAR_encourage_sedentarization_desc;In order to survive as as a nation-state, we Tatars will have to give up our nomadic lifestyles. By encouraging aggressive demographic policies (fertility for everyone!) and especially developing our great cities, we can increase our population enough to prevent Russian incursions on our territory.;;;;;;;;;;;;;
switch_to_army_tech_title;Military-Industrial Complex;Complexe militaro-industriel;Militärisch-industrieller Komplex;;;;;;;;;;;
switch_to_army_tech_desc;Cooperation between private industrialists and the military, on the issues of national defense and war policy, have led to the development of a particularly important web of connections, personal ties and acquaintances, with just an ever so slight hint of corruption, that can best be described as a Military-Industrial Complex. By furthering the goals and ambitions of these informal networks within our academia, we can boost industrial and military research, at the expense of navy and culture.;La coopération des industriels privés et des militaires, en termes de défense nationale et de politique belliciste, a conduit à la mise en place de réseaux relationnels particulièrement importants, sur fond de légère corruption, qu'il convient mieux de qualifier de complexe militaro-industriel. En repoussant les limites des objectifs et ambitions de ces réseaux informels au sein de notre académie, nous pourrons améliorer la recherche militaro-industrielle, au détriment du commerce et de la culture.;Die Kooperation zwischen Industrialisten und dem Militär bezüglich Fragen der nationalen Verteidigung und Kriegspolitik haben zu einem völlig korruptionsfreien, besonderen Netz von Beziehungen, persönlichen Verbindungen und Bekanntschaften geführt, das am treffendsten als militärisch-industrieller Komplex bezeichnet werden kann. Durch die Ausweitung der Ziele und Ambitionen dieser informellen Netzwerke in unserer akademischen Welt können wir die industrielle und militärische Forschung voranbringen, allerdings auf Kosten von Handel und Kultur.;;;;;;;;;;;
switch_to_navy_tech_title;Sea power & The Merchant Marine;Puissance maritime et marine marchande;Seemacht & die Handelsmarine;;;;;;;;;;;
switch_to_navy_tech_desc;It has been said that the best way to get ahead in our country is to go via the naval schools. Much of our country's military and political elites have been educated navy men, or have served in the merchant marine. The navy's importance for a seafaring country like our own cannot be underestimated, and by promoting these groups and backgrounds politically, we can ensure that our naval technology will develop at an increased rate, at the expense, however, of other fields of research.;On a souvent dit que le meilleur moyen de progresser dans notre pays consiste à fréquenter les écoles navales. Bon nombre d'élites militaires et politiques de notre pays y ont suivi des études ou ont servi dans la marine marchande. L'importance de la marine pour un pays marin comme le nôtre ne peut être sous-estimée et en assurant la promotion de ces groupes au niveau politique, nous veillerons à ce que notre technologie navale se développe rapidement, au détriment, cependant, d'autres domaines de recherche.;Man sagt sich, dass der beste Weg, es in unserem Land zu etwas zu bringen, eine Ausbildung an den Marineschulen ist. Viele Angehörige der militärischen und politischen Eliten unseres Landes sind gut ausgebildete Marinesoldaten oder haben zumindest in der Handelsmarine gedient. Die Wichtigkeit der Marine für eine Seefahrernation wie der unseren kann gar nicht übertrieben werden, und durch die politische Förderung dieser Gruppen und Hintergründe können wir sicherstellen, dass unsere Marinetechnologie mit größerer Geschwindigkeit erforscht wird, allerdings zu Lasten anderer Forschungsgebiete.;;;;;;;;;;;
switch_to_culture_tech_title;Avantgarde Intelligentsia;Intelligentsia d'avant-garde;Avantgardistische Intelligentsia;;;;;;;;;;;
switch_to_culture_tech_desc;A cultural and ideological avantgarde within our country has, during the past years, been undertaking a long march through our academic institutions. By steadily working their way up the rungs of the academic ladder, these radical new ideologues are now in a position to completely subvert our academic institutions to better suit their ideological agenda. By supporting their cause, we can increase the speed of our cultural research, to the detriment, however, of other spheres of intellectual progress.;Au sein de notre pays, une avant-garde culturelle et idéologique, au cours des années passées, a entrepris une longue marche dans nos institutions académiques. Après s'être hissé dans les plus hauts rangs, ces nouveaux idéologues radicaux sont désormais en mesure de renverser nos institutions académiques pour mieux asseoir leur programme idéologique. En soutenant leur cause, nous pourrons accélérer notre recherche culturelle, au détriment, cependant, d'autres sphères de progrès intellectuels.;Während der letzten Jahre hat eine kulturelle und ideologische Avantgarde in unserem Land einen langen Marsch durch unsere akademischen Institutionen unternommen. Indem sie sich kontinuierlich die akademische Leiter hochgearbeitet haben, sind diese radikalen neuen Ideologien nun in einer Position, unsere akademischen Institutionen komplett zu unterwandern, um sie empfänglicher für ihre ideologische Agenda zu machen. Durch die Unterstützung ihrer Sache können wir die Geschwindigkeit unserer kulturellen Forschung erhöhen, was allerdings auf Kosten anderer Sphären ideologischen Fortschritts ginge.;;;;;;;;;;;
switch_to_trade_tech_title;Tycoon Capitalism & Business Schools;Capitalisme poussé et écoles commerciales;Magnats-Kapitalismus & Kaufmannsschulen;;;;;;;;;;;
