;;;;;;;;;;;;;x,,;;;;
gtfo_MEX_desc;We've had a good run, but it's time to end our relationship with Mexico: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MTC_title;Remove Metis Confederacy From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MTC_desc;We've had a good run, but it's time to end our relationship with Metis Confederacy: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HON_title;Remove Honduras From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HON_desc;We've had a good run, but it's time to end our relationship with Honduras: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NEN_title;Remove New England From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NEN_desc;We've had a good run, but it's time to end our relationship with New England: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NEW_title;Remove Newfoundland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NEW_desc;We've had a good run, but it's time to end our relationship with Newfoundland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NIC_title;Remove Matacalpa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NIC_desc;We've had a good run, but it's time to end our relationship with Matacalpa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PNM_title;Remove Andagoya From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PNM_desc;We've had a good run, but it's time to end our relationship with Andagoya: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_QUE_title;Remove Quebec From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_QUE_desc;We've had a good run, but it's time to end our relationship with Quebec: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TEX_title;Remove Texas From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TEX_desc;We've had a good run, but it's time to end our relationship with Texas: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UCA_title;Remove United States of Mesoamerica From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UCA_desc;We've had a good run, but it's time to end our relationship with United States of Mesoamerica: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ARG_title;Remove Argentina From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ARG_desc;We've had a good run, but it's time to end our relationship with Argentina: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BOL_title;Remove Bolivia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BOL_desc;We've had a good run, but it's time to end our relationship with Bolivia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BRZ_title;Remove Brazil From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BRZ_desc;We've had a good run, but it's time to end our relationship with Brazil: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CHL_title;Remove Chile From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CHL_desc;We've had a good run, but it's time to end our relationship with Chile: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CLM_title;Remove Colombia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CLM_desc;We've had a good run, but it's time to end our relationship with Colombia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ECU_title;Remove Ecuador From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ECU_desc;We've had a good run, but it's time to end our relationship with Ecuador: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PEU_title;Remove Peru From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PEU_desc;We've had a good run, but it's time to end our relationship with Peru: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PRG_title;Remove Paraguay From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PRG_desc;We've had a good run, but it's time to end our relationship with Paraguay: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_URU_title;Remove Uruguay From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_URU_desc;We've had a good run, but it's time to end our relationship with Uruguay: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_VNZ_title;Remove Venezuela From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_VNZ_desc;We've had a good run, but it's time to end our relationship with Venezuela: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CHP_title;Remove Champa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CHP_desc;We've had a good run, but it's time to end our relationship with Champa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AST_title;Remove Australia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AST_desc;We've had a good run, but it's time to end our relationship with Australia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NZL_title;Remove New Zealand From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NZL_desc;We've had a good run, but it's time to end our relationship with New Zealand: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ISR_title;Remove Israel From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ISR_desc;We've had a good run, but it's time to end our relationship with Israel: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BYZ_title;Remove Byzantine Empire From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BYZ_desc;We've had a good run, but it's time to end our relationship with Byzantine Empire: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ICL_title;Remove Iceland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ICL_desc;We've had a good run, but it's time to end our relationship with Iceland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BAB_title;Remove Babylon From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BAB_desc;We've had a good run, but it's time to end our relationship with Babylon: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ENG_title;Remove England From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ENG_desc;We've had a good run, but it's time to end our relationship with England: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_RUS_title;Remove Russia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_RUS_desc;We've had a good run, but it's time to end our relationship with Russia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_FRA_title;Remove the Dual Monarchy From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_FRA_desc;We've had a good run, but it's time to end our relationship with the Dual Monarchy: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PRU_title;Remove Prussia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PRU_desc;We've had a good run, but it's time to end our relationship with Prussia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GER_title;Remove Germany From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GER_desc;We've had a good run, but it's time to end our relationship with Germany: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AUS_title;Remove Austria From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AUS_desc;We've had a good run, but it's time to end our relationship with Austria: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_USA_title;Remove America From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_USA_desc;We've had a good run, but it's time to end our relationship with America: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_JAP_title;Remove Japan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_JAP_desc;We've had a good run, but it's time to end our relationship with Japan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ITA_title;Remove Italy From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ITA_desc;We've had a good run, but it's time to end our relationship with Italy: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KUK_title;Remove Austria-Hungary From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KUK_desc;We've had a good run, but it's time to end our relationship with Austria-Hungary: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SPA_title;Remove Spain From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SPA_desc;We've had a good run, but it's time to end our relationship with Spain: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TUR_title;Remove the Ottoman Empire From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TUR_desc;We've had a good run, but it's time to end our relationship with the Ottoman Empire: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CHI_title;Remove China From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CHI_desc;We've had a good run, but it's time to end our relationship with China: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_QNG_title;Remove Qing From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_QNG_desc;We've had a good run, but it's time to end our relationship with Qing: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PLC_title;Remove Poland-Lithuania From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PLC_desc;We've had a good run, but it's time to end our relationship with Poland-Lithuania: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PZN_title;Remove Poznan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PZN_desc;We've had a good run, but it's time to end our relationship with Poznan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GLM_title;Remove Galicia-Lodomeria From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GLM_desc;We've had a good run, but it's time to end our relationship with Galicia-Lodomeria: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CPL_title;Remove Congress Poland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CPL_desc;We've had a good run, but it's time to end our relationship with Congress Poland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UBD_title;Remove United Baltic Provinces From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UBD_desc;We've had a good run, but it's time to end our relationship with United Baltic Provinces: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MIG_title;Remove the Song From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MIG_desc;"We've had a good run, but it's time to end our relationship with the Song; if you love something, let it go!";;;;;;;;;;;;x;;;;
gtfo_SHU_title;Remove the Shun Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SHU_desc;We've had a good run, but it's time to end our relationship with the Shun: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TAI_title;Remove the Taiping From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TAI_desc;We've had a good run, but it's time to end our relationship with the Taiping: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DAX_title;Remove the Daxi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DAX_desc;We've had a good run, but it's time to end our relationship with the Daxi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TNG_title;Remove the Tungning From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TNG_desc;We've had a good run, but it's time to end our relationship with the Tungning: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NBG_title;Remove the Seven Republics From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NBG_desc;We've had a good run, but it's time to end our relationship with the Seven Republics: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BRG_title;Remove Burgundy From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BRG_desc;We've had a good run, but it's time to end our relationship with Burgundy: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PRV_title;Remove Provence From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PRV_desc;We've had a good run, but it's time to end our relationship with Provence: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_FRI_title;Remove East Frisia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_FRI_desc;We've had a good run, but it's time to end our relationship with East Frisia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SAL_title;Remove Salzburg From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SAL_desc;We've had a good run, but it's time to end our relationship with Salzburg: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_FRR_title;Remove Ferrara From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_FRR_desc;We've had a good run, but it's time to end our relationship with Ferrara: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ASK_title;Remove Astrakhan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ASK_desc;We've had a good run, but it's time to end our relationship with Astrakhan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NOV_title;Remove Novgorod From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NOV_desc;We've had a good run, but it's time to end our relationship with Novgorod: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MUS_title;Remove Muscovy From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MUS_desc;We've had a good run, but it's time to end our relationship with Muscovy: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PSV_title;Remove Pskov From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PSV_desc;We've had a good run, but it's time to end our relationship with Pskov: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MAC_title;Remove Macedonia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MAC_desc;We've had a good run, but it's time to end our relationship with Macedonia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AMT_title;Remove Amatsa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AMT_desc;We've had a good run, but it's time to end our relationship with Amatsa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ADA_title;Remove Adal From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ADA_desc;We've had a good run, but it's time to end our relationship with Adal: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_FUN_title;Remove the Funj Sultanate From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_FUN_desc;We've had a good run, but it's time to end our relationship with the Funj Sultanate: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KAN_title;Remove Kanem-Bornu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KAN_desc;We've had a good run, but it's time to end our relationship with Kanem-Bornu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GRQ_title;Remove Griqualand From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GRQ_desc;We've had a good run, but it's time to end our relationship with Griqualand: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LWE_title;Remove Leeuwin From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LWE_desc;We've had a good run, but it's time to end our relationship with Leeuwin: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NFL_title;Remove Nuweflander From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NFL_desc;We've had a good run, but it's time to end our relationship with Nuweflander: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NRI_title;Remove Nri From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NRI_desc;We've had a good run, but it's time to end our relationship with Nri: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KGO_title;Remove Kongo From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KGO_desc;We've had a good run, but it's time to end our relationship with Kongo: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ZIM_title;Remove Mutapa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ZIM_desc;We've had a good run, but it's time to end our relationship with Mutapa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_FJA_title;Remove Fuuta Jallon From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_FJA_desc;We've had a good run, but it's time to end our relationship with Fuuta Jallon: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ADW_title;Remove Adamawa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ADW_desc;We've had a good run, but it's time to end our relationship with Adamawa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ILO_title;Remove Ilorin From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ILO_desc;We've had a good run, but it's time to end our relationship with Ilorin: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KNO_title;Remove Kano From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KNO_desc;We've had a good run, but it's time to end our relationship with Kano: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DHY_title;Remove Dahomey From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DHY_desc;We've had a good run, but it's time to end our relationship with Dahomey: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UAR_title;Remove the Caliphate From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UAR_desc;We've had a good run, but it's time to end our relationship with the Caliphate: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ALH_title;Remove Al Haasa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ALH_desc;We've had a good run, but it's time to end our relationship with Al Haasa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CHG_title;Remove Dzungaria From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CHG_desc;We've had a good run, but it's time to end our relationship with Dzungaria: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ARA_title;Remove Aragon From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ARA_desc;We've had a good run, but it's time to end our relationship with Aragon: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ARI_title;Remove Aragon-Italy From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ARI_desc;We've had a good run, but it's time to end our relationship with Aragon-Italy: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_VIJ_title;Remove Vijayanagar From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_VIJ_desc;We've had a good run, but it's time to end our relationship with Vijayanagar: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MCK_title;Remove Manchu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MCK_desc;We've had a good run, but it's time to end our relationship with Manchu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BKF_title;Remove the Ashikaga Bakufu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BKF_desc;We've had a good run, but it's time to end our relationship with the Ashikaga Bakufu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KKN_title;Remove Kita Kaigan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KKN_desc;We've had a good run, but it's time to end our relationship with Kita Kaigan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LFG_title;Remove Lanfang From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LFG_desc;We've had a good run, but it's time to end our relationship with Lanfang: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_RAJ_title;Remove Rajputana From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_RAJ_desc;We've had a good run, but it's time to end our relationship with Rajputana: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PLM_title;Remove Palembang From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PLM_desc;We've had a good run, but it's time to end our relationship with Palembang: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TON_title;Remove Tondo From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TON_desc;We've had a good run, but it's time to end our relationship with Tondo: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MKS_title;Remove Makassar From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MKS_desc;We've had a good run, but it's time to end our relationship with Makassar: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_VIN_title;Remove Vinland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_VIN_desc;We've had a good run, but it's time to end our relationship with Vinland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PLA_title;Remove Plantagenia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PLA_desc;We've had a good run, but it's time to end our relationship with Plantagenia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_RAP_title;Remove Rapa Nui From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_RAP_desc;We've had a good run, but it's time to end our relationship with Rapa Nui: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HHR_title;Remove Røhnnst From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HHR_desc;We've had a good run, but it's time to end our relationship with Røhnnst: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DNG_title;Remove Qingqiu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DNG_desc;We've had a good run, but it's time to end our relationship with Qingqiu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_INC_title;Remove Tawantinsuyu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_INC_desc;We've had a good run, but it's time to end our relationship with Tawantinsuyu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NAN_title;Remove Beornia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NAN_desc;We've had a good run, but it's time to end our relationship with Beornia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AMA_title;Remove Amazonie From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AMA_desc;We've had a good run, but it's time to end our relationship with Amazonie: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LOT_title;Remove Lotharingia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LOT_desc;We've had a good run, but it's time to end our relationship with Lotharingia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ARU_title;Remove Purumauca From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ARU_desc;We've had a good run, but it's time to end our relationship with Purumauca: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GAN_title;Remove Zhourao From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GAN_desc;We've had a good run, but it's time to end our relationship with Zhourao: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TUI_title;Remove T'ui Tonga From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TUI_desc;We've had a good run, but it's time to end our relationship with T'ui Tonga: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_YOL_title;Remove Yolngu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_YOL_desc;We've had a good run, but it's time to end our relationship with Yolngu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NOO_title;Remove Noongar From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NOO_desc;We've had a good run, but it's time to end our relationship with Noongar: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PPU_title;Remove Papua From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PPU_desc;We've had a good run, but it's time to end our relationship with Papua: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_YKT_title;Remove Yakutia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_YKT_desc;We've had a good run, but it's time to end our relationship with Yakutia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UGH_title;Remove Uyghuristan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UGH_desc;We've had a good run, but it's time to end our relationship with Uyghuristan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TJK_title;Remove Tajikistan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TJK_desc;We've had a good run, but it's time to end our relationship with Tajikistan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KZH_title;Remove the Kazakh Khanate From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KZH_desc;We've had a good run, but it's time to end our relationship with the Kazakh Khanate: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_IRO_title;Remove the Haudenosaunee From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_IRO_desc;We've had a good run, but it's time to end our relationship with the Haudenosaunee: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ANI_title;Remove the Anishinabe From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ANI_desc;We've had a good run, but it's time to end our relationship with Anishinabe: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DIN_title;Remove Dine Bikeyah From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DIN_desc;We've had a good run, but it's time to end our relationship with Dine Bikeyah: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NUN_title;Remove the Nunavut From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NUN_desc;We've had a good run, but it's time to end our relationship with Nunavut: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SRD_title;Remove Arborea From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SRD_desc;We've had a good run, but it's time to end our relationship with Arborea: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GNV_title;Remove Geneva From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GNV_desc;We've had a good run, but it's time to end our relationship with Geneva: if you love something, let it go!;;;;;;;;;;;;;;;;
gtfo_BLF_title;Remove Belfast From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BLF_desc;We've had a good run, but it's time to end our relationship with Belfast: if you love something, let it go!;;;;;;;;;;;;x;;;;x
gtfo_WLS_title;Remove Wales From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WLS_desc;We've had a good run, but it's time to end our relationship with Wales: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NAV_title;Remove Euskadia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NAV_desc;We've had a good run, but it's time to end our relationship with Euskadia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GAL_title;Remove Galicia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GAL_desc;We've had a good run, but it's time to end our relationship with Galicia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LRR_title;Remove Lorraine From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LRR_desc;We've had a good run, but it's time to end our relationship with Lorraine: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_POM_title;Remove Pomerania From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_POM_desc;We've had a good run, but it's time to end our relationship with Pomerania: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BRN_title;Remove Brandenburg From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BRN_desc;We've had a good run, but it's time to end our relationship with Brandenburg: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SIL_title;Remove Silesia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
